artista,pais_de_origen,area_de_origen,fecha_nacimiento,fecha_inicio_actividad,fecha_fin_actividad
Bonnie Tyler,United Kingdom,Skewen,1951-06-08,NULL,Actualidad
Palaye Royale,United States,Las Vegas,NULL,2008,Actualidad
The Lumineers,United States,Ramsey,NULL,2008-12-31,Actualidad
The Blue Stones,Canada,Windsor,NULL,2011,Actualidad
María Becerra,Argentina,Quilmes,2000-02-12,NULL,Actualidad
Blas Cantó,Spain,Ricote,1991-10-26,NULL,Actualidad
Blessd,Colombia,Antioquia,2000-01-27,NULL,Actualidad
The 1975,United Kingdom,Manchester,NULL,2002,Actualidad
De Luna,NULL,NULL,NULL,NULL,Actualidad
Ronnie Lane,United Kingdom,Plaistow,1946-04-01,NULL,1997-06-04
Adam Jensen,Boston,NULL,NULL,NULL,Actualidad
Beéle,Colombia,Barranquilla,2003,NULL,Actualidad
Cristian Castro,Mexico,NULL,1974-12-08,NULL,Actualidad
Nil Moliner,Spain,Sant Feliu de Llobregat,1992-10-18,NULL,Actualidad
Sigur Rós,Iceland,Reykjavík,NULL,1994-01-04,Actualidad
Tame Impala,Australia,Sydney,1986-01-20,NULL,Actualidad
MercyMe,United States,NULL,NULL,1994,Actualidad
Manchester Orchestra,United States,Atlanta,NULL,2005,Actualidad
Alejo,NULL,NULL,NULL,NULL,Actualidad
Roy Orbison,United States,Vernon,1936-04-23,NULL,1988-12-06
Bomba Estéreo,Colombia,Bogotá,NULL,2005,Actualidad
Noice,Sweden,NULL,NULL,1977,Actualidad
Digitalism,Germany,Hamburg,NULL,2004,Actualidad
Marlena Shaw,United States,New Rochelle,1939-09-22,NULL,2024-01-19
G. G. Anderson,Germany,Eschwege,1949-12-04,NULL,Actualidad
King Clave,Argentina,Formosa,1944-02-14,NULL,Actualidad
Old Mervs,Western Australia,NULL,NULL,NULL,Actualidad
Portico Quartet,United Kingdom,London,NULL,2005,Actualidad
YUNGBLUD,West Yorkshire,Doncaster,1997-08-05,NULL,Actualidad
feeble little horse,Pittsburgh,Pittsburgh,NULL,2021,Actualidad
Tricky,United Kingdom,Bristol,1968-01-27,NULL,Actualidad
Yeah Yeah Yeahs,United States,New York,NULL,2000,Actualidad
Rawayana,Venezuela,Caracas,NULL,2007,Actualidad
Wolfgang Amadeus Mozart,Austria,Salzburg,1756-01-27,NULL,1791-12-05
LCD Soundsystem,United States,New York,NULL,2001,Actualidad
Axel Boman,Sweden,NULL,NULL,NULL,Actualidad
Various Artists,NULL,NULL,NULL,NULL,Actualidad
BOUE,NULL,NULL,NULL,NULL,Actualidad
Andrea Sertori,Italy,NULL,NULL,NULL,Actualidad
Bryan Adams,Canada,Kingston,1959-11-05,NULL,Actualidad
Kaleo,Iceland,Mosfellsbær,NULL,2012-11-08,Actualidad
Rapsusklei,Spain,NULL,NULL,NULL,Actualidad
BUMP OF CHICKEN,Japan,NULL,NULL,1994,Actualidad
Elton John,United Kingdom,Pinner,1947-03-25,NULL,Actualidad
valence,NULL,NULL,NULL,NULL,Actualidad
Ella Fitzgerald,United States,Newport News,1917-04-25,NULL,1996-06-15
